model,timestamp,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_ovr
roberta_finetuned,2026-05-09T01:33:45+00:00,0.7477114079370063,0.6639436148801744,0.8085660334323016,0.7101973257947017,0.7561694562396554,0.9853760864423076
linearsvc,2026-05-08T23:48:37+00:00,0.6864810028743267,0.6347323880297678,0.5388789582724091,0.5704445142056284,0.6754855843565816,0.9561380911682266
logreg,2026-05-08T23:37:37+00:00,0.6278833844593126,0.5296037304388557,0.619351016296911,0.5581628737015327,0.6432329603562708,0.9499584907449892
random_forest,2026-05-09T01:22:31+00:00,0.4412695345523055,0.4131391643256268,0.4688569677505131,0.4055161021241816,0.4701681698642046,0.884794252126552
decision_tree,2026-05-09T01:15:10+00:00,0.4252312746068935,0.3561126075354635,0.3632635357250274,0.3592522096165534,0.427064736383316,0.6700770472394034
knn,2026-05-09T00:50:08+00:00,0.3991207941837154,0.3925832841102138,0.2618349138823237,0.290424444221466,0.3825412333782365,0.7077784341641892
adaboost,2026-05-09T01:29:52+00:00,0.2265887297408275,0.1553080398838251,0.0605122551707196,0.0446233536684095,0.1043203696501708,0.7105296114555977
